1,Ozerki
2,Bolekhiv
3,Ngori
4,Wang Nam Yen
5,Ōsaka-shi
6,Sumberbakti
7,Cajabamba
8,Shendang
9,Dobrá
10,Kangān
11,Luklukan
12,Villa Mercedes
13,Lille
14,Jeding
15,Hudiksvall
16,Brétigny-sur-Orge
17,Mahīn
18,Avignon
19,Smederevska Palanka
20,Zhong’an
21,Kresna
22,Far‘ūn
23,Longotea
24,Krajan Satu
25,Liudong
26,Jindřichův Hradec
27,Słotowa
28,Mohammedia
29,Morales
30,Joliet
31,Dalongzhan
32,Špišić-Bukovica
33,Montongtebolak
34,Khoronk’
35,Limbaan
36,Nowe
37,Ciela Lebak
38,El Cantón de San Pablo
39,Sanjie
40,San José
41,Armavir
42,Rahayu Dua
43,Greenhills
44,Yunchi
45,Vale Mourão
46,Guaduas
47,Novoanninskiy
48,Keleleng
49,Sattahip
50,Oefatu
